brand_name,generic_name,year
Cequr Simplicity,"Bolus Insulin Pump, 200 Unit",2023
Comfort Ez Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Comfort Ez Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Droplet Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Easy Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Easy Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Easy Glide Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Easy Glide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Easy Touch,"Syringe And Needle,insulin,1ml",2023
Easy Touch,"Syringe-Needle,insulin,0.5 Ml",2023
Easy Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Easy Touch Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Easy-Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Elite-Thin,"Syringe And Needle,insulin,1ml",2023
Farxiga,Dapagliflozin Propanediol,2023
Fiasp,Insulin Aspart (Niacinamide),2023
Fiasp Flextouch,Insulin Aspart (Niacinamide),2023
Fiasp Penfill,Insulin Aspart (Niacinamide),2023
Glimepiride,Glimepiride,2023
Glipizide,Glipizide,2023
Glipizide Er,Glipizide,2023
Glipizide Xl,Glipizide,2023
Glipizide-Metformin,Glipizide/Metformin Hcl,2023
Glucotrol Xl,Glipizide,2023
Glumetza,Metformin Hcl,2023
Glyburide,Glyburide,2023
Glyburide Micronized,"Glyburide,micronized",2023
Glyburide-Metformin Hcl,Glyburide/Metformin Hcl,2023
Glyxambi,Empagliflozin/Linagliptin,2023
Healthwise Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Humalog,Insulin Lispro,2023
Humalog Junior Kwikpen,Insulin Lispro,2023
Humalog Kwikpen U-100,Insulin Lispro,2023
Humalog Kwikpen U-200,Insulin Lispro,2023
Humalog Mix 50-50,Insulin Lispro Protamin/Lispro,2023
Humalog Mix 50-50 Kwikpen,Insulin Lispro Protamin/Lispro,2023
Humalog Mix 75-25,Insulin Lispro Protamin/Lispro,2023
Humalog Mix 75-25 Kwikpen,Insulin Lispro Protamin/Lispro,2023
Humalog Tempo Pen U-100,Insulin Lispro,2023
Humulin 70-30,Insulin Nph Hum/Reg Insulin Hm,2023
Humulin 70/30 Kwikpen,Insulin Nph Hum/Reg Insulin Hm,2023
Humulin N,Insulin Nph Human Isophane,2023
Humulin N Kwikpen,Insulin Nph Human Isophane,2023
Humulin R,"Insulin Regular, Human",2023
Humulin R U-500,"Insulin Regular, Human",2023
Humulin R U-500 Kwikpen,"Insulin Regular, Human",2023
Inpen (For Humalog),"Insulin Pen,reusable,bt Lispro",2023
Inpen (For Novolog Or Fiasp),"Insulin Pen,reusable,bt,aspart",2023
Insulin Aspart,Insulin Aspart,2023
Insulin Aspart Flexpen,Insulin Aspart,2023
Insulin Aspart Penfill,Insulin Aspart,2023
Insulin Aspart Prot Mix 70-30,Insulin Aspart Prot/Insuln Asp,2023
Insulin Degludec,Insulin Degludec,2023
Insulin Degludec Pen (U-100),Insulin Degludec,2023
Insulin Degludec Pen (U-200),Insulin Degludec,2023
Insulin Glargine,"Insulin Glargine,hum.Rec.Anlog",2023
Insulin Glargine Solostar,"Insulin Glargine,hum.Rec.Anlog",2023
Insulin Glargine-Yfgn,Insulin Glargine-Yfgn,2023
Insulin Lispro,Insulin Lispro,2023
Insulin Lispro Junior Kwikpen,Insulin Lispro,2023
Insulin Lispro Kwikpen U-100,Insulin Lispro,2023
Insulin Lispro Protamine Mix,Insulin Lispro Protamin/Lispro,2023
Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Insulin Syringe,"Syringe,insulin,needless 1 Ml",2023
Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Invokamet,Canagliflozin/Metformin Hcl,2023
Invokamet Xr,Canagliflozin/Metformin Hcl,2023
Invokana,Canagliflozin,2023
Janumet,Sitagliptin Phos/Metformin Hcl,2023
Janumet Xr,Sitagliptin Phos/Metformin Hcl,2023
Januvia,Sitagliptin Phosphate,2023
Jardiance,Empagliflozin,2023
Jentadueto,Linagliptin/Metformin Hcl,2023
Jentadueto Xr,Linagliptin/Metformin Hcl,2023
Kazano,Alogliptin Benz/Metformin Hcl,2023
Kombiglyze Xr,Saxagliptin Hcl/Metformin Hcl,2023
Lantus,"Insulin Glargine,hum.Rec.Anlog",2023
Lantus Solostar,"Insulin Glargine,hum.Rec.Anlog",2023
Levemir,Insulin Detemir,2023
Levemir Flexpen,Insulin Detemir,2023
Levemir Flextouch,Insulin Detemir,2023
Lite Touch,"Syringe And Needle,insulin,1ml",2023
Lite Touch,"Syringe-Needle,insulin,0.5 Ml",2023
Lyumjev,Insulin Lispro-Aabc,2023
Lyumjev Kwikpen U-100,Insulin Lispro-Aabc,2023
Lyumjev Kwikpen U-200,Insulin Lispro-Aabc,2023
Lyumjev Tempo Pen U-100,Insulin Lispro-Aabc,2023
Metformin Er Gastric,Metformin Hcl,2023
Metformin Er Osmotic,Metformin Hcl,2023
Metformin Hcl,Metformin Hcl,2023
Metformin Hcl Er,Metformin Hcl,2023
Miglitol,Miglitol,2023
Monoject,"Syringe-Needle,insulin,0.5 Ml",2023
Monoject Insulin Safety Syrng,"Syringe With Needle, Insulin",2023
Monoject Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Monoject Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Mounjaro,Tirzepatide,2023
Nateglinide,Nateglinide,2023
Nesina,Alogliptin Benzoate,2023
Novolin 70-30,Insulin Nph Hum/Reg Insulin Hm,2023
Novolin 70-30 Flexpen,Insulin Nph Hum/Reg Insulin Hm,2023
Novolin N,Insulin Nph Human Isophane,2023
Novolin N Flexpen,Insulin Nph Human Isophane,2023
Novolin R,"Insulin Regular, Human",2023
Novolin R Flexpen,"Insulin Regular, Human",2023
Novolog,Insulin Aspart,2023
Novolog Flexpen,Insulin Aspart,2023
Novolog Mix 70-30,Insulin Aspart Prot/Insuln Asp,2023
Novolog Mix 70-30 Flexpen,Insulin Aspart Prot/Insuln Asp,2023
Novolog Penfill,Insulin Aspart,2023
Omnipod 5 G6 Intro Kit (Gen 5),"Insulin Pump Cart,auto,bt/Cntr",2023
Omnipod 5 G6 Pods (Gen 5),"Insulin Pump Cart,automated,bt",2023
Omnipod Classic Pods (Gen 3),"Insulin Pump Cart,cont Inf,rf",2023
Omnipod Dash Pods (Gen 4),"Insulin Pump Cart,cont Inf,bt",2023
Onglyza,Saxagliptin Hcl,2023
Oseni,Alogliptin Benz/Pioglitazone,2023
Ozempic,Semaglutide,2023
Pioglitazone Hcl,Pioglitazone Hcl,2023
Pioglitazone-Glimepiride,Pioglitazone Hcl/Glimepiride,2023
Pioglitazone-Metformin,Pioglitazone Hcl/Metformin Hcl,2023
Qtern,Dapagliflozin/Saxagliptin Hcl,2023
Repaglinide,Repaglinide,2023
Rezvoglar Kwikpen,Insulin Glargine-Aglr,2023
Rybelsus,Semaglutide,2023
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Safetyglide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2023
Saxagliptin Hcl,Saxagliptin Hcl,2023
Saxagliptin-Metformin Er,Saxagliptin Hcl/Metformin Hcl,2023
Segluromet,Ertugliflozin/Metformin,2023
Semglee (Yfgn),Insulin Glargine-Yfgn,2023
Semglee (Yfgn) Pen,Insulin Glargine-Yfgn,2023
Soliqua 100-33,Insulin Glargine/Lixisenatide,2023
Steglatro,Ertugliflozin Pidolate,2023
Steglujan,Ertugliflozin/Sitagliptin Phos,2023
Sure Comfort,"Syringe And Needle,insulin,1ml",2023
Sure Comfort,"Syringe-Needle,insulin,0.5 Ml",2023
Sure Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Sure Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Sure-Ject Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Symlinpen 120,Pramlintide Acetate,2023
Symlinpen 60,Pramlintide Acetate,2023
Synjardy,Empagliflozin/Metformin Hcl,2023
Synjardy Xr,Empagliflozin/Metformin Hcl,2023
Techlite Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Terumo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Toujeo Max Solostar,"Insulin Glargine,hum.Rec.Anlog",2023
Toujeo Solostar,"Insulin Glargine,hum.Rec.Anlog",2023
Tradjenta,Linagliptin,2023
Tresiba,Insulin Degludec,2023
Tresiba Flextouch U-100,Insulin Degludec,2023
Tresiba Flextouch U-200,Insulin Degludec,2023
Trijardy Xr,Empaglifloz/Linaglip/Metformin,2023
True Comfort Pro Ins Syringe,"Syringe And Needle,insulin,1ml",2023
True Comfort Pro Ins Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Trueplus Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Trueplus Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Trulicity,Dulaglutide,2023
Ulticare,"Syringe And Needle,insulin,1ml",2023
Ulticare,"Syringe-Needle,insulin,0.5 Ml",2023
Ulticare Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Ulticare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Ultra Comfort,"Syringe And Needle,insulin,1ml",2023
Ultra Comfort,"Syringe-Needle,insulin,0.5 Ml",2023
Ultra-Thin Ii,"Syringe And Needle,insulin,1ml",2023
Ultra-Thin Ii,"Syringe-Needle,insulin,0.5 Ml",2023
Ultracare Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Ultracare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
V-Go 20,"Sub-Q Insulin Device, 20 Unit",2023
V-Go 30,"Sub-Q Insulin Device, 30 Unit",2023
V-Go 40,"Sub-Q Insulin Device, 40 Unit",2023
Vanishpoint,"Syringe And Needle,insulin,1ml",2023
Vanishpoint,"Syringe-Needle,insulin,0.5 Ml",2023
Veo Insulin Syringe,"Syringe And Needle,insulin,1ml",2023
Veo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023
Victoza 2-Pak,Liraglutide,2023
Victoza 3-Pak,Liraglutide,2023
Xigduo Xr,Dapaglifloz Propaned/Metformin,2023
Xultophy 100-3.6,Insulin Degludec/Liraglutide,2023
Acarbose,Acarbose,2024
Actoplus Met,Pioglitazone Hcl/Metformin Hcl,2024
Actos,Pioglitazone Hcl,2024
Admelog,Insulin Lispro,2024
Admelog Solostar,Insulin Lispro,2024
Advocate Syringes,"Syringe And Needle,insulin,1ml",2024
Advocate Syringes,"Syringe-Needle,insulin,0.5 Ml",2024
Afrezza,"Insulin Regular, Human",2024
Alogliptin,Alogliptin Benzoate,2024
Alogliptin-Metformin,Alogliptin Benz/Metformin Hcl,2024
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,2024
Apidra,Insulin Glulisine,2024
Apidra Solostar,Insulin Glulisine,2024
Basaglar Kwikpen U-100,"Insulin Glargine,hum.Rec.Anlog",2024
