brand_name,generic_name,year,drug_class,matched_terms,marketed_name_type,scope_status
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Safetyglide Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Techlite Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Techlite Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Techlite Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
True Comfort Pro Ins Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Trueplus Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Trueplus Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Trueplus Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ulticare Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra Comfort,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra Comfort,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra Comfort,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra-Thin Ii,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra-Thin Ii,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultra-Thin Ii,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultracare Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultracare Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Ultracare Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Vanishpoint,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Vanishpoint,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
